B,2018-10-01
C,2018-10-02
D,2018-10-03
E,2018-10-04
F,2018-10-05
A,2018-10-09
B,2018-10-10
C,2018-10-11
D,2018-10-12
E,2018-10-15
F,2018-10-16
A,2018-10-17
B,2018-10-18
C,2018-10-19
D,2018-10-22
E,2018-10-23
F,2018-10-24
A,2018-10-25
B,2018-10-26
C,2018-10-29
D,2018-10-30
E,2018-10-31
F,2018-11-01
A,2018-11-02
B,2018-11-05
C,2018-11-06
D,2018-11-07
E,2018-11-08
F,2018-11-09
A,2018-11-13
B,2018-11-14
C,2018-11-15
D,2018-11-16
E,2018-11-19
F,2018-11-20
A,2018-11-26
B,2018-11-27
C,2018-11-28
D,2018-11-29
E,2018-11-30
F,2018-12-03
A,2018-12-04
B,2018-12-05
C,2018-12-06
D,2018-12-07
E,2018-12-10
F,2018-12-11
A,2018-12-12
B,2018-12-13
C,2018-12-14
D,2018-12-17
E,2018-12-18
F,2018-12-19
A,2019-01-08
D,2019-01-09
E,2019-01-10
F,2019-01-11
A,2019-01-14
B,2019-01-15
C,2019-01-16
D,2019-01-17
E,2019-01-18
F,2019-01-22
A,2019-01-23
B,2019-01-24
C,2019-01-25
D,2019-01-28
E,2019-01-29
F,2019-01-30
A,2019-01-31
B,2019-02-01
B,2019-02-06
C,2019-02-07
D,2019-02-08
E,2019-02-11
F,2019-02-12
A,2019-02-13
B,2019-02-14
C,2019-02-15
D,2019-02-19
E,2019-02-20
F,2019-02-21
A,2019-02-22
B,2019-02-25
C,2019-02-26
D,2019-02-27
E,2019-02-28
F,2019-03-01
A,2019-03-04
B,2019-03-05
C,2019-03-06
D,2019-03-07
E,2019-03-08
F,2019-03-11
A,2019-03-12
B,2019-03-13
C,2019-03-14
D,2019-03-15
E,2019-04-01
F,2019-04-02
A,2019-04-03
B,2019-04-04
C,2019-04-05
D,2019-04-08
E,2019-04-09
F,2019-04-10
A,2019-04-11
B,2019-04-12
C,2019-04-15
D,2019-04-16
E,2019-04-17
F,2019-04-18
A,2019-04-22
B,2019-04-23
C,2019-04-24
D,2019-04-25
E,2019-04-26
F,2019-04-29
A,2019-04-30
B,2019-05-01
C,2019-05-02
D,2019-05-03
D,2019-05-06
E,2019-05-07
F,2019-05-08
A,2019-05-09
B,2019-05-10
C,2019-05-13
D,2019-05-14
E,2019-05-15
F,2019-05-16
A,2019-05-17
B,2019-05-20
C,2019-05-21
D,2019-05-22
E,2019-05-23
F,2019-05-24
B,2019-05-28
C,2019-05-29
